time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2020/10/23/20:07:59.710680,420,1603480079,677664908,map,0.0716161196656,0.000231147259771,0.00184065820638,0.000172633490664,-0.00377826839665,-0.0114342813852,0.999927473417
2020/10/23/20:07:59.744444,421,1603480079,710946908,map,0.0735471147543,9.20549013481e-06,0.00186087047198,0.000122070315829,-0.00380185838913,-0.0113051872059,0.999928859326
2020/10/23/20:07:59.777859,422,1603480079,744245908,map,0.0752529195362,-3.93705055833e-05,0.00189921927834,0.000122070313993,-0.00351045028873,-0.0115664444415,0.999926936931
2020/10/23/20:07:59.811352,423,1603480079,777656908,map,0.076976157756,-0.000214076636863,0.00192560515181,0.000244140633419,-0.00368037460025,-0.0116229918137,0.999925647886
2020/10/23/20:07:59.844276,424,1603480079,811107908,map,0.0786454309093,-0.000271048844768,0.00198003955055,0.0,-0.00368442105882,-0.0119060799121,0.999922332135
2020/10/23/20:07:59.877592,425,1603480079,844125908,map,0.0800846984722,-0.000316399037029,0.00201619779583,0.000172633490588,-0.00355893075019,-0.0120014428649,0.999921631719
2020/10/23/20:07:59.911044,426,1603480079,877719908,map,0.0820477811988,-0.000359917880274,0.00206765943311,0.0,-0.00337409056491,-0.012172191093,0.999920223456
2020/10/23/20:07:59.944635,427,1603480079,910962908,map,0.0840242884424,-0.000391669273373,0.00207397698578,0.0,-0.00341578833069,-0.0122697364101,0.99991888969
2020/10/23/20:07:59.977519,428,1603480079,944067908,map,0.0854781937527,-0.000443098545847,0.00218286129806,0.0,-0.00334526105934,-0.0122375105131,0.999919523044
2020/10/23/20:08:00.010791,429,1603480079,977610908,map,0.0869410738345,-0.000627747921714,0.00224237920334,0.0,-0.00342885056999,-0.0122812688859,0.999918703405
